paper,paper_url,date,year,half_year,primary_level,capability_path,modalities,catalog_subsection,primary_mechanism,controller_type,visual_executor,feedback,evaluation_type,planning,retrieval,tool_use,multi_agent,verification,memory,rl,closed_loop,cross_task_persistence,github,website,open_source
FilmWorld: Agentic Novel-to-Film Generation through Dynamic Cinematic World Modeling,https://arxiv.org/abs/2607.19038,2026-07,2026,2026-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/zplusdragon/FilmWorld,https://filmworld-ai.github.io/,True
GS-Agent: Creating 4D Physical Worlds With Generative Simulation,https://arxiv.org/abs/2607.21522,2026-07,2026,2026-H2,L3,L1+L2+L3,World,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://umass-embodied-agi.github.io/gs-agent/,False
PhysAgent: Reflective Agentic Physics Control for Physically Plausible Video Generation,https://arxiv.org/abs/2607.16355,2026-07,2026,2026-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/IApple233/PhysAgent,https://iapple233.github.io/PhysAgent,True
"PlanCraft: Sketch, Refine, and Furnish for Architect-Inspired Progressive 3D Residential Scene Generation",https://arxiv.org/abs/2607.23491,2026-07,2026,2026-H2,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,,False
VideoCoCo: Code-as-CoT for Physically-Consistent Video Generation via an Agentic Dual-Engine System,https://arxiv.org/abs/2607.27380,2026-07,2026,2026-H2,L3,L1+L2+L3,Video;3D,"Video, 3D, and persistent world-state control","Executable simulation, draft inspection, and conditioned editing",language or multimodal controller,video generator or editor; 3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/micky-li-hd/VideoCoCo,,True
Bridging Creative Intent and Visual Quality: Creator-Driven Recurrent Video Generation with Agentic Feedback Loops,https://arxiv.org/abs/2606.18591,2026-06,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Closed-Loop Triplet Synergistic Generation for Long-Form Video,https://arxiv.org/abs/2606.16184,2026-06,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Global-Local Monte Carlo Tree Search in Vision-Language Models for Text-to-3D Indoor Scene Generation,https://arxiv.org/abs/2606.06002,2026-06,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,https://github.com/dw-dengwei/TreeSearchGen,,True
IterCAD: An Iterative Multimodal Agent for Visually-Grounded CAD Generation and Editing,https://arxiv.org/abs/2606.13368,2026-06,2026,2026-H1,L3,L1+L2+L3,3D;Editing,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,,,False
SceneConductor: 3D Scene Generation from a Single Image with Multi-Agent Orchestration,https://arxiv.org/abs/2606.08402,2026-06,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Planner-directed 3D scene correction,multi-role language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,https://github.com/jhkim0759/SceneConductor,https://jhkim0759.github.io/projects/SceneConductor,True
Temporal Backtracking Search for Test-time Generative Video Reasoning,https://arxiv.org/abs/2606.13861,2026-06,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,True,False,True,False,False,True,False,,https://sejoonjun.github.io/TBS/,False
Articraft: An Agentic System for Scalable Articulated 3D Asset Generation,https://arxiv.org/abs/2605.15187,2026-05,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Asset validation feedback,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/articraftresearch/Articraft,https://articraft3d.github.io,True
"Genflow Ad Studio: A Compound AI Architecture for Brand-Aligned, Self-Correcting Video Generation",https://arxiv.org/abs/2605.16748,2026-05,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
NEWTON: Agentic Planning for Physically Grounded Video Generation,https://arxiv.org/abs/2605.18396,2026-05,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control","Physics-aware tool planning, verification, and iterative replanning",language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,True,False,True,False,False,True,False,https://github.com/CUTEPKQ/NEWTON,https://newton026.github.io/newton/,True
"One Sentence, One Drama: Personalized Short-Form Drama Generation via Multi-Agent Systems",https://arxiv.org/abs/2605.22144,2026-05,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Multi-stage reviewer loops,multi-role language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,,,False
ReCA: Multi-Shot Long Video Extrapolation via Recursive Context Allocation,https://arxiv.org/abs/2605.26525,2026-05,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Recursive context allocation and state refresh,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/ali-vilab/ReCA,https://reca.vmv.re/,True
SceneCode: Executable World Programs for Editable Indoor Scenes with Articulated Objects,https://arxiv.org/abs/2605.19587,2026-05,2026,2026-H1,L3,L1+L2+L3,World;Editing,"Video, 3D, and persistent world-state control",Execution-guided program repair,language or multimodal controller,world generator or simulator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/wangpuyi/SceneCode,https://scene-code.github.io/,True
Soap2Soap: Long Cinematic Video Remaking via Multi-Agent Collaboration,https://arxiv.org/abs/2605.17423,2026-05,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Verification-triggered video regeneration,multi-role language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/showlab/Soap2Soap,,True
BOOKAGENT,https://arxiv.org/abs/2604.16541,2026-04,2026,2026-H1,L3,L1+L2+L3,Image;Video,"Video, 3D, and persistent world-state control",Verify-then-rectify storybook generation,language or multimodal controller,image generator; video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/bogao-code/BookAgent,,True
Co-Director,https://arxiv.org/abs/2604.24842,2026-04,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",MLLM feedback-driven video refinement,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/GoogleCloudPlatform/genmedia-izumi-agent,https://co-director-agent.github.io/,True
Cutscene Agent: An LLM Agent Framework for Automated 3D Cutscene Generation,https://arxiv.org/abs/2604.25318,2026-04,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Scene-state and visual feedback loop,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://kuaishou-gamemind.github.io/cutscene_agent/,False
PhysCodeBench: Benchmarking Physics-Aware Symbolic Simulation of 3D Scenes via Self-Corrective Multi-Agent Refinement,https://arxiv.org/abs/2604.23580,2026-04,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,multi-role language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,,,False
SCMAPR: Self-Correcting Multi-Agent Prompt Refinement for Complex-Scenario Text-to-Video Generation,https://arxiv.org/abs/2604.05489,2026-04,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,multi-role language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,https://github.com/HiThink-Research/SCMAPR,,True
SceneAssistant: A Visual Feedback Agent for Open-Vocabulary 3D Scene Generation,https://arxiv.org/abs/2603.12238,2026-03,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/ROUJINN/SceneAssistant,,True
VQQA: An Agentic Approach for Video Evaluation and Quality Improvement,https://arxiv.org/abs/2603.12310,2026-03,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://yiwen-song.github.io/vqqa/,False
WorldAgents: Can Foundation Image Models be Agents for 3D World Models?,https://arxiv.org/abs/2603.19708,2026-03,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://ziyaerkoc.com/worldagents,False
PhyScensis: Physics-Augmented LLM Agents for Complex Physical Scene Arrangement,https://arxiv.org/abs/2602.14968,2026-02,2026,2026-H1,L3,L1+L2+L3,3D;World,"Video, 3D, and persistent world-state control",Physics-solver feedback,language or multimodal controller,3D generator or scene engine; world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://physcensis.github.io,False
SAGE: Scalable Agentic 3D Scene Generation for Embodied AI,https://arxiv.org/abs/2602.10116,2026-02,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Visual and physics critic loop,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/NVlabs/sage,https://research.nvidia.com/labs/dir/sage/,True
SceneSmith: Agentic Generation of Simulation-Ready Indoor Scenes,https://arxiv.org/abs/2602.09153,2026-02,2026,2026-H1,L3,L1+L2+L3,3D;World,"Video, 3D, and persistent world-state control",Designer-critic scene refinement,language or multimodal controller,3D generator or scene engine; world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/nepfaff/scenesmith,https://scenesmith.github.io/,True
T2VTree: User-Centered Visual Analytics for Agent-Assisted Thought-to-Video Authoring,https://arxiv.org/abs/2602.08368,2026-02,2026,2026-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
From Idea to Co-Creation: A Planner-Actor-Critic Framework for Agent Augmented 3D Modeling,https://arxiv.org/abs/2601.05016,2026-01,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,,False
I2E: From Image Pixels to Actionable Interactive Environments for Text-Guided Image Editing,https://arxiv.org/abs/2601.03741,2026-01,2026,2026-H1,L3,L1+L2+L3,World;Editing,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,world generator or simulator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://image2env.github.io/,False
PaperBanana: Automating Academic Illustration for AI Scientists,https://arxiv.org/abs/2601.23265,2026-01,2026,2026-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Outcome-aware verification and revision,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/dwzhu-pku/PaperBanana,https://dwzhu-pku.github.io/PaperBanana/,True
AutoMV,https://arxiv.org/abs/2512.12196,2025-12,2025,2025-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Verifier-routed music-video generation,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/multimodal-art-projection/AutoMV,https://m-a-p.ai/AutoMV/,True
CoAgent,https://arxiv.org/abs/2512.22536,2025-12,2025,2025-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Cross-segment consistency agent,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
MoReGen,https://arxiv.org/abs/2512.04221,2025-12,2025,2025-H2,L3,L1+L2+L3,Video;3D,"Video, 3D, and persistent world-state control",Simulator code and physical checking,language or multimodal controller,video generator or editor; 3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Hollywood Town,https://arxiv.org/abs/2510.22431,2025-10,2025,2025-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Adaptive cross-modal workflow,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://olpleo.github.io/,False
VISTA: A Test-Time Self-Improving Video Generation Agent,https://arxiv.org/abs/2510.15831,2025-10,2025,2025-H2,L3,L1+L3,Video,"Video, 3D, and persistent world-state control",Test-time video prompt refinement,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,https://g-vista.github.io/,False
AniME,https://arxiv.org/abs/2508.18781,2025-08,2025,2025-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Adaptive animation planning,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,,False
MAViS,https://arxiv.org/abs/2508.08487,2025-08,2025,2025-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Explore-examine-enhance stage loops,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
AniMaker: Multi-Agent Animated Storytelling with MCTS-Driven Clip Generation,https://arxiv.org/abs/2506.10540,2025-06,2025,2025-H1,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",MCTS candidate generation and review,multi-role language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,https://github.com/HITsz-TMG/Anim-Director/tree/main/AniMaker,https://animaker-dev.github.io/,True
Agentic 3D Scene Generation,https://arxiv.org/abs/2505.20129,2025-05,2025,2025-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Spatial reasoning and rendered-view inspection,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,,https://spatctxvlm.github.io/project_page/,False
Scenethesis,https://arxiv.org/abs/2505.02836,2025-05,2025,2025-H1,L3,L1+L2+L3,3D,"Video, 3D, and persistent world-state control",Render-guided scene construction,language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://research.nvidia.com/labs/dir/scenethesis/,False
FilmAgent,https://arxiv.org/abs/2501.12909,2025-01,2025,2025-H1,L3,L1+L2+L3,Video;3D,"Video, 3D, and persistent world-state control",Director feedback and script revision,language or multimodal controller,video generator or editor; 3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/HITsz-TMG/FilmAgent,https://filmagent.github.io/,True
GenMAC,https://arxiv.org/abs/2412.04440,2024-12,2024,2024-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Verification and correction,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/Karine-Huang/GenMAC,https://karine-h.github.io/GenMAC/,True
VideoAgent,https://arxiv.org/abs/2410.10076,2024-10,2024,2024-H2,L3,L1+L3,Video,"Video, 3D, and persistent world-state control",Environment-feedback planning,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,https://github.com/video-as-agent/videoagent,https://video-as-agent.github.io/,True
Anim-Director,https://arxiv.org/abs/2408.09787,2024-08,2024,2024-H2,L3,L1+L2+L3,Video,"Video, 3D, and persistent world-state control",Self-reflective animation candidate selection,language or multimodal controller,video generator or editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/HITsz-TMG/Anim-Director,,True
Kubrick,https://arxiv.org/abs/2408.10453,2024-08,2024,2024-H2,L3,L1+L2+L3,Video;3D,"Video, 3D, and persistent world-state control",Screenshot-guided Blender repair,language or multimodal controller,video generator or editor; 3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://kubrick9.github.io/,False
ETPDesigner: Multi-Agent Orchestration for Interactive Multimodal Electronic Theater Program,https://arxiv.org/abs/2607.19947,2026-07,2026,2026-H2,L3,L1+L2+L3,Image,Rendered-feedback control for slides and user interfaces,VLM-judged poster optimization and style-anchored assembly,multi-role language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,,,False
PaperX: A Unified Framework for Multimodal Academic Presentation Generation with Scholar DAG,https://arxiv.org/abs/2602.03866,2026-02,2026,2026-H1,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,Rendered-slide VLM feedback and content-layout revision,unified multimodal policy,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/yutao1024/PaperX,,True
Talk to Your Slides: High-Efficiency Slide Editing via Language-Driven Structured Data Manipulation,https://arxiv.org/abs/2505.11604,2025-05,2025,2025-H1,L3,L1+L2+L3,Slide;Editing,Rendered-feedback control for slides and user interfaces,Execution-error-triggered object-model repair and retry,language or multimodal controller,slide renderer or object model; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/KyuDan1/Talk-to-Your-Slides,,True
Learning to Present: Inverse Specification Rewards for Agentic Slide Generation,https://arxiv.org/abs/2603.16839,2026-03,2026,2026-H1,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,Review-guided slide editing in a sequential tool environment,language or multimodal controller,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/pushing-the-frontier/slide-forge-llm,https://huggingface.co/datasets/KarthikRagunathAnandaKumar/sliderl-multi-turn-rollouts,True
PosterMELD: Multi-Agent Paper-to-Poster Generation for Controllable Design Diversity with Editable Print-Ready Outputs,https://arxiv.org/abs/2608.02218,2026-08,2026,2026-H2,L3,L1+L2+L3,Image;Editing,Rendered-feedback control for slides and user interfaces,VLM-routed poster repair,multi-role language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/Shannon4Science/PosterMELD,https://jackey0903.github.io/PosterMELD/,True
SeaSlides: Semantic Abstraction Layer for Agentic Slide Generation,https://arxiv.org/abs/2608.03298,2026-08,2026,2026-H2,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,Three-stage slide feedback,language or multimodal controller,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/touying-typ/seaslides,https://tylina.github.io/,True
Exploring Agentic Workflows for Generating High Quality Math Visual Aids,https://arxiv.org/abs/2607.09839,2026-07,2026,2026-H2,L3,L1+L2+L3,Image,Rendered-feedback control for slides and user interfaces,VLM-reviewed visual-aid refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
OmniPresent: Generating Coherent Presentation Suites from Scientific Papers,https://arxiv.org/abs/2607.02590,2026-07,2026,2026-H2,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,Cross-artifact verify-and-repair,language or multimodal controller,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://mqleet.github.io/OmniPresent_Page/,False
Any2Poster: Any-Source Poster Generation Across Modalities and Domains,https://arxiv.org/abs/2606.02915,2026-06,2026,2026-H1,L3,L1+L2+L3,Image,Rendered-feedback control for slides and user interfaces,Visual-feedback poster refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/Any2Poster/Any2Poster,https://any2poster.github.io/Any2Poster/,True
Automatic Slide Updating with User-Defined Dynamic Templates and Natural Language Instructions (SlideAgent),https://arxiv.org/abs/2604.17894,2026-04,2026,2026-H1,L3,L1+L2+L3,Slide;Editing,Rendered-feedback control for slides and user interfaces,Perception-reasoning-execution slide loop,language or multimodal controller,slide renderer or object model; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/XiaoZhou2024/SlideAgent,,True
Vision-Guided Iterative Refinement for Frontend Code Generation,https://arxiv.org/abs/2604.05839,2026-04,2026,2026-H1,L3,L1+L2+L3,UI,Rendered-feedback control for slides and user interfaces,"VLM critic, rendered feedback, and iterative code revision",language or multimodal controller,code generator and browser renderer,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
GameUIAgent: An LLM-Powered Framework for Automated Game UI Design with Structured Intermediate Representation,https://arxiv.org/abs/2603.14724,2026-03,2026,2026-H1,L3,L1+L2+L3,UI,Rendered-feedback control for slides and user interfaces,Non-regressive VLM reflection,language or multimodal controller,code generator and browser renderer,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
DeepPresenter: Environment-Grounded Reflection for Agentic Presentation Generation,https://arxiv.org/abs/2602.22839,2026-02,2026,2026-H1,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,Outcome-aware verification and revision,language or multimodal controller,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,https://github.com/icip-cas/PPTAgent,https://huggingface.co/datasets/Forceless/UltraPresent,True
VisRefiner: Learning from Visual Differences for Screenshot-to-Code Generation,https://arxiv.org/abs/2602.05998,2026-02,2026,2026-H1,L3,L1+L3,UI,Rendered-feedback control for slides and user interfaces,Difference-aligned training and render-conditioned self-refinement,language or multimodal controller,code generator and browser renderer,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,,False
FronTalk: Benchmarking Front-End Development as Conversational Code Generation with Multi-Modal Feedback (AceCoder),https://arxiv.org/abs/2601.04203,2025-12,2025,2025-H2,L3,L1+L2+L3,UI,Rendered-feedback control for slides and user interfaces,Web-agent critique and regression-aware regeneration,language or multimodal controller,code generator and browser renderer,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/shirley-wu/frontalk,https://frontalk-benchmark.github.io/,True
PPTArena: A Benchmark for Agentic PowerPoint Editing (PPTPilot),https://arxiv.org/abs/2512.03042,2025-12,2025,2025-H2,L3,L1+L2+L3,Slide;Editing,Rendered-feedback control for slides and user interfaces,Plan-edit-check loop with programmatic and XML tools,language or multimodal controller,slide renderer or object model; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/michaelofengenden/PPTArena,https://ppt-arena.onrender.com/evaluation,True
UI2Code^N: UI-to-Code Generation as Interactive Visual Optimization,https://arxiv.org/abs/2511.08195,2025-11,2025,2025-H2,L3,L1+L3,UI,Rendered-feedback control for slides and user interfaces,Unified render-inspect-refine model with test-time scaling,unified multimodal policy,code generator and browser renderer,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/zai-org/UI2Code_N,https://zheny2751-dotcom.github.io/ui2code-n.github.io/,True
WebVIA: A Web-based Vision-Language Agentic Framework for Interactive and Verifiable UI-to-Code Generation,https://arxiv.org/abs/2511.06251,2025-11,2025,2025-H2,L3,L1+L2+L3,UI,Rendered-feedback control for slides and user interfaces,Interactive exploration and terminal-validation-guided code revision,language or multimodal controller,code generator and browser renderer,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/zheny2751-dotcom/WebVIA,https://zheny2751-dotcom.github.io/webvia.github.io/,True
Auto-Slides: An Interactive Multi-Agent System for Creating and Customizing Research Presentations,https://arxiv.org/abs/2509.11062,2025-09,2025,2025-H2,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,"Multi-agent planning, verification, repair, and interactive refinement",multi-role language or multimodal controller,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,True,True,True,False,False,True,False,https://github.com/Westlake-AGI-Lab/Auto-Slides,https://auto-slides.github.io/,True
